gfx,cu_num,M,N,K,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx1250,256,512,6144,7168,flydsl,1445,2,13.5000,flydsl_mxfp8_128_bpreshuffle_compute_wmma_t128x256x128_mw2_nw2_nb4_sk2_cm4_cn2_fsk_apre,3643.04,4362.36,0.0
gfx1250,256,512,7168,3072,flydsl,1372,1,9.5398,flydsl_mxfp8_128_bpreshuffle_compute_wmma_t128x128x128_mw2_nw2_nb4_sk1_cm4_cn4_apre,2363.63,3242.52,0.0
gfx1250,256,512,8192,1536,flydsl,1372,1,7.0079,flydsl_mxfp8_128_bpreshuffle_compute_wmma_t128x128x128_mw2_nw2_nb4_sk1_cm4_cn4_apre,1838.63,3104.77,0.0
gfx1250,256,512,65536,1536,flydsl,1349,1,23.4377,flydsl_mxfp8_128_bpreshuffle_compute_wmma_t256x256x128_mw2_nw2_nb2_sk1_cm2_cn4_apre_ps2,4398.01,7191.77,0.0
gfx1250,256,512,7168,16384,flydsl,1447,2,25.6650,flydsl_mxfp8_128_bpreshuffle_compute_wmma_t128x256x128_mw2_nw2_nb3_sk2_cm4_cn2_fsk_apre,4753.89,5264.23,0.0
