M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle
72,3336,4096,False,torch.bfloat16,torch.bfloat16,False,False
72,4096,1024,False,torch.bfloat16,torch.bfloat16,False,False
72,4096,1536,False,torch.bfloat16,torch.bfloat16,False,False
72,4096,2048,False,torch.bfloat16,torch.bfloat16,False,False
72,19360,4096,False,torch.bfloat16,torch.bfloat16,False,False
76,19360,4096,False,torch.bfloat16,torch.bfloat16,False,False
80,1024,128,False,torch.bfloat16,torch.bfloat16,False,False
80,2048,1536,False,torch.bfloat16,torch.bfloat16,False,False
80,2048,4096,False,torch.bfloat16,torch.bfloat16,False,False
80,3336,4096,False,torch.bfloat16,torch.bfloat16,False,False
80,4096,1024,False,torch.bfloat16,torch.bfloat16,False,False
80,4096,1536,False,torch.bfloat16,torch.bfloat16,False,False
80,4096,2048,False,torch.bfloat16,torch.bfloat16,False,False
80,19360,4096,False,torch.bfloat16,torch.bfloat16,False,False
84,19360,4096,False,torch.bfloat16,torch.bfloat16,False,False
88,1024,128,False,torch.bfloat16,torch.bfloat16,False,False
88,2048,1536,False,torch.bfloat16,torch.bfloat16,False,False
88,2048,4096,False,torch.bfloat16,torch.bfloat16,False,False
88,3336,4096,False,torch.bfloat16,torch.bfloat16,False,False
88,4096,1024,False,torch.bfloat16,torch.bfloat16,False,False
88,4096,1536,False,torch.bfloat16,torch.bfloat16,False,False
88,4096,2048,False,torch.bfloat16,torch.bfloat16,False,False
88,19360,4096,False,torch.bfloat16,torch.bfloat16,False,False
92,19360,4096,False,torch.bfloat16,torch.bfloat16,False,False
96,1024,128,False,torch.bfloat16,torch.bfloat16,False,False
96,2048,1536,False,torch.bfloat16,torch.bfloat16,False,False
96,2048,4096,False,torch.bfloat16,torch.bfloat16,False,False
96,3336,4096,False,torch.bfloat16,torch.bfloat16,False,False
96,4096,1024,False,torch.bfloat16,torch.bfloat16,False,False
96,4096,1536,False,torch.bfloat16,torch.bfloat16,False,False
96,4096,2048,False,torch.bfloat16,torch.bfloat16,False,False
96,19360,4096,False,torch.bfloat16,torch.bfloat16,False,False
100,19360,4096,False,torch.bfloat16,torch.bfloat16,False,False
104,1024,128,False,torch.bfloat16,torch.bfloat16,False,False
104,2048,1536,False,torch.bfloat16,torch.bfloat16,False,False
104,2048,4096,False,torch.bfloat16,torch.bfloat16,False,False
104,3336,4096,False,torch.bfloat16,torch.bfloat16,False,False
104,4096,1024,False,torch.bfloat16,torch.bfloat16,False,False
104,4096,1536,False,torch.bfloat16,torch.bfloat16,False,False
104,4096,2048,False,torch.bfloat16,torch.bfloat16,False,False
104,19360,4096,False,torch.bfloat16,torch.bfloat16,False,False
108,19360,4096,False,torch.bfloat16,torch.bfloat16,False,False
112,1024,128,False,torch.bfloat16,torch.bfloat16,False,False
112,2048,1536,False,torch.bfloat16,torch.bfloat16,False,False
112,2048,4096,False,torch.bfloat16,torch.bfloat16,False,False
112,3336,4096,False,torch.bfloat16,torch.bfloat16,False,False
112,4096,1024,False,torch.bfloat16,torch.bfloat16,False,False
112,4096,1536,False,torch.bfloat16,torch.bfloat16,False,False
112,4096,2048,False,torch.bfloat16,torch.bfloat16,False,False
112,19360,4096,False,torch.bfloat16,torch.bfloat16,False,False
116,19360,4096,False,torch.bfloat16,torch.bfloat16,False,False
120,1024,128,False,torch.bfloat16,torch.bfloat16,False,False
120,2048,1536,False,torch.bfloat16,torch.bfloat16,False,False
120,2048,4096,False,torch.bfloat16,torch.bfloat16,False,False
120,3336,4096,False,torch.bfloat16,torch.bfloat16,False,False
120,4096,1024,False,torch.bfloat16,torch.bfloat16,False,False
120,4096,1536,False,torch.bfloat16,torch.bfloat16,False,False
120,4096,2048,False,torch.bfloat16,torch.bfloat16,False,False
120,19360,4096,False,torch.bfloat16,torch.bfloat16,False,False
124,19360,4096,False,torch.bfloat16,torch.bfloat16,False,False
128,1024,128,False,torch.bfloat16,torch.bfloat16,False,False
128,2048,1536,False,torch.bfloat16,torch.bfloat16,False,False
128,2048,4096,False,torch.bfloat16,torch.bfloat16,False,False
128,3336,4096,False,torch.bfloat16,torch.bfloat16,False,False
128,4096,1024,False,torch.bfloat16,torch.bfloat16,False,False
128,4096,1536,False,torch.bfloat16,torch.bfloat16,False,False
128,4096,2048,False,torch.bfloat16,torch.bfloat16,False,False
128,19360,4096,False,torch.bfloat16,torch.bfloat16,False,False
136,160,4096,False,torch.bfloat16,torch.bfloat16,False,False
136,1024,128,False,torch.bfloat16,torch.bfloat16,False,False
136,2048,1536,False,torch.bfloat16,torch.bfloat16,False,False
136,2048,4096,False,torch.bfloat16,torch.bfloat16,False,False
136,3336,4096,False,torch.bfloat16,torch.bfloat16,False,False
136,4096,1024,False,torch.bfloat16,torch.bfloat16,False,False
136,4096,1536,False,torch.bfloat16,torch.bfloat16,False,False
136,4096,2048,False,torch.bfloat16,torch.bfloat16,False,False
136,19360,4096,False,torch.bfloat16,torch.bfloat16,False,False
144,160,4096,False,torch.bfloat16,torch.bfloat16,False,False
144,1024,128,False,torch.bfloat16,torch.bfloat16,False,False
144,2048,1536,False,torch.bfloat16,torch.bfloat16,False,False
144,2048,4096,False,torch.bfloat16,torch.bfloat16,False,False
144,3336,4096,False,torch.bfloat16,torch.bfloat16,False,False
144,4096,1024,False,torch.bfloat16,torch.bfloat16,False,False
144,4096,1536,False,torch.bfloat16,torch.bfloat16,False,False
144,4096,2048,False,torch.bfloat16,torch.bfloat16,False,False
144,19360,4096,False,torch.bfloat16,torch.bfloat16,False,False
152,160,4096,False,torch.bfloat16,torch.bfloat16,False,False
152,1024,128,False,torch.bfloat16,torch.bfloat16,False,False
152,2048,1536,False,torch.bfloat16,torch.bfloat16,False,False
152,2048,4096,False,torch.bfloat16,torch.bfloat16,False,False
152,3336,4096,False,torch.bfloat16,torch.bfloat16,False,False
152,4096,1024,False,torch.bfloat16,torch.bfloat16,False,False
152,4096,1536,False,torch.bfloat16,torch.bfloat16,False,False
152,4096,2048,False,torch.bfloat16,torch.bfloat16,False,False
152,19360,4096,False,torch.bfloat16,torch.bfloat16,False,False
160,160,4096,False,torch.bfloat16,torch.bfloat16,False,False
160,1024,128,False,torch.bfloat16,torch.bfloat16,False,False
160,2048,1536,False,torch.bfloat16,torch.bfloat16,False,False
160,2048,4096,False,torch.bfloat16,torch.bfloat16,False,False
160,3336,4096,False,torch.bfloat16,torch.bfloat16,False,False
160,4096,1024,False,torch.bfloat16,torch.bfloat16,False,False
160,4096,1536,False,torch.bfloat16,torch.bfloat16,False,False
160,4096,2048,False,torch.bfloat16,torch.bfloat16,False,False
160,19360,4096,False,torch.bfloat16,torch.bfloat16,False,False
168,160,4096,False,torch.bfloat16,torch.bfloat16,False,False
168,1024,128,False,torch.bfloat16,torch.bfloat16,False,False
168,2048,1536,False,torch.bfloat16,torch.bfloat16,False,False
168,2048,4096,False,torch.bfloat16,torch.bfloat16,False,False
168,3336,4096,False,torch.bfloat16,torch.bfloat16,False,False
168,4096,1024,False,torch.bfloat16,torch.bfloat16,False,False
168,4096,1536,False,torch.bfloat16,torch.bfloat16,False,False
168,4096,2048,False,torch.bfloat16,torch.bfloat16,False,False
168,19360,4096,False,torch.bfloat16,torch.bfloat16,False,False
176,160,4096,False,torch.bfloat16,torch.bfloat16,False,False
176,1024,128,False,torch.bfloat16,torch.bfloat16,False,False
176,2048,1536,False,torch.bfloat16,torch.bfloat16,False,False
176,2048,4096,False,torch.bfloat16,torch.bfloat16,False,False
176,3336,4096,False,torch.bfloat16,torch.bfloat16,False,False
176,4096,1024,False,torch.bfloat16,torch.bfloat16,False,False
176,4096,1536,False,torch.bfloat16,torch.bfloat16,False,False
176,4096,2048,False,torch.bfloat16,torch.bfloat16,False,False
176,19360,4096,False,torch.bfloat16,torch.bfloat16,False,False
184,160,4096,False,torch.bfloat16,torch.bfloat16,False,False
184,1024,128,False,torch.bfloat16,torch.bfloat16,False,False
184,2048,1536,False,torch.bfloat16,torch.bfloat16,False,False
184,2048,4096,False,torch.bfloat16,torch.bfloat16,False,False
184,3336,4096,False,torch.bfloat16,torch.bfloat16,False,False
184,4096,1024,False,torch.bfloat16,torch.bfloat16,False,False
184,4096,1536,False,torch.bfloat16,torch.bfloat16,False,False
184,4096,2048,False,torch.bfloat16,torch.bfloat16,False,False
184,19360,4096,False,torch.bfloat16,torch.bfloat16,False,False
192,160,4096,False,torch.bfloat16,torch.bfloat16,False,False
192,1024,128,False,torch.bfloat16,torch.bfloat16,False,False
192,2048,1536,False,torch.bfloat16,torch.bfloat16,False,False
192,2048,4096,False,torch.bfloat16,torch.bfloat16,False,False
192,3336,4096,False,torch.bfloat16,torch.bfloat16,False,False
192,4096,1024,False,torch.bfloat16,torch.bfloat16,False,False
192,4096,1536,False,torch.bfloat16,torch.bfloat16,False,False
192,4096,2048,False,torch.bfloat16,torch.bfloat16,False,False
192,19360,4096,False,torch.bfloat16,torch.bfloat16,False,False
200,160,4096,False,torch.bfloat16,torch.bfloat16,False,False
200,1024,128,False,torch.bfloat16,torch.bfloat16,False,False
200,2048,1536,False,torch.bfloat16,torch.bfloat16,False,False
200,2048,4096,False,torch.bfloat16,torch.bfloat16,False,False
200,3336,4096,False,torch.bfloat16,torch.bfloat16,False,False
200,4096,1024,False,torch.bfloat16,torch.bfloat16,False,False
200,4096,1536,False,torch.bfloat16,torch.bfloat16,False,False
200,4096,2048,False,torch.bfloat16,torch.bfloat16,False,False
200,19360,4096,False,torch.bfloat16,torch.bfloat16,False,False
208,160,4096,False,torch.bfloat16,torch.bfloat16,False,False
208,1024,128,False,torch.bfloat16,torch.bfloat16,False,False
208,2048,1536,False,torch.bfloat16,torch.bfloat16,False,False
